id,text
0,pass
1,may be employ
2,to retrieve
3,may ask
4,have cause
5,may consider
6,make trusting
7,make
8,to be
9,be the case for
10,be
11,may change
12,can be call
13,to make
14,to get
15,hit
16,can be use
17,may hit
18,contain
19,to wear
20,be require
21,choose cite
22,choose to skip
23,choose
24,to follow
25,have
26,consist
27,may agree to play
28,may agree
29,depend
30,play
31,win
32,be not play until
33,be play indefinitely
34,[ be ] tennis coach [ of ]
35,[ be ] ex - husband [ of ]
36,lose
37,date
38,become
39,borrow
40,[ be ]
41,announce
42,form
43,offer
44,be introduce in
45,comprise
46,beep to indicate
47,beep
48,be assist
49,would be call
50,have largely be replace
51,call
52,be allow
53,use
54,start use
55,start
56,introduce
57,leave
58,may be question
59,hold
60,join
61,connect
62,include
63,be make
64,be make for
65,yield
66,enable
67,lead
68,influence
69,affect
70,change
71,serve
72,be use
73,be serve
74,to win
75,to have convert
76,be award
77,do win
78,be call
79,fail
80,break
81,be refer
82,also win
83,to establish
84,allow
85,conduct
86,enter
87,before enter
88,compete
89,give
90,have catapult directly
91,determine
92,have land
93,may be assist
94,have touch
95,be hold
96,regulate
97,be delegate
98,end
99,continue
100,begin
101,hit high
102,to have have
103,be consider
104,use a two - handed forehand to achieve
105,[ be ] player [ from ]
106,know
107,be also
108,compete to win
109,see
110,select
111,have call
112,distribute
113,sponsor player to use
114,sponsor
115,more well known
116,will become
117,take
118,lead to the abandonment of this distinction inaugurate
119,could compete
120,have shed
121,speak
122,have spread
123,be a player under
124,sign
125,must have
126,to play
127,rotate
128,double
129,team
130,will try to execute
131,will try
132,attempt
133,will go
134,require
135,find
136,help
137,meet
138,must adhere
139,improve
140,may be interlace
141,may be customize
142,use sweat band to keep
143,"have wide , flat sol for stability to avoid"
144,can be play
145,divide
146,to hit
147,create
148,can be
149,administer
150,host
151,be compose of
152,be compose
153,use the challenger series to work
154,plummet
155,between win
156,to progress
157,win regardless
158,reach
159,[ be ] junior [ of ]
160,[ be ] pro [ of ]
161,have be introduce
162,cover
163,be string
164,be not
165,to return
166,will not gain
